transaction_id,subscriber_id,billing_date,plan_at_billing,amount,payment_status,payment_method,retry_count,discount_applied
TXN_00000001,SUB_000001,2025-03-31,Standard,17.99,Success,Credit Card,0,0
TXN_00000002,SUB_000001,2025-04-30,Standard,17.99,Success,Credit Card,0,0
TXN_00000003,SUB_000001,2025-05-30,Standard,17.99,Success,Credit Card,0,0
TXN_00000004,SUB_000001,2025-06-29,Standard,17.99,Success,Credit Card,0,0
TXN_00000005,SUB_000001,2025-07-29,Standard,17.99,Success,Credit Card,0,0
TXN_00000006,SUB_000001,2025-08-28,Standard,17.99,Success,Credit Card,0,0
TXN_00000007,SUB_000001,2025-09-27,Standard,17.99,Success,Credit Card,0,0
TXN_00000008,SUB_000001,2025-10-27,Standard,17.99,Success,Credit Card,0,0
TXN_00000009,SUB_000001,2025-11-26,Standard,17.99,Success,Credit Card,0,0
TXN_00000010,SUB_000001,2025-12-26,Standard,17.99,Success,Credit Card,0,0
TXN_00000011,SUB_000001,2026-01-25,Standard,17.99,Success,Credit Card,0,0
TXN_00000012,SUB_000001,2026-02-24,Standard,14.39,Success,Credit Card,0,1
TXN_00000013,SUB_000001,2026-03-26,Standard,17.99,Success,Credit Card,0,0
TXN_00000014,SUB_000002,2026-01-30,Basic-Ads,6.39,Success,Credit Card,0,1
TXN_00000015,SUB_000003,2025-03-31,Premium,24.99,Success,Credit Card,0,0
TXN_00000016,SUB_000003,2025-04-30,Premium,24.99,Success,Credit Card,0,0
TXN_00000017,SUB_000003,2025-05-30,Premium,19.99,Success,Credit Card,0,1
TXN_00000018,SUB_000003,2025-06-29,Premium,24.99,Success,Credit Card,0,0
TXN_00000019,SUB_000003,2025-07-29,Premium,24.99,Soft-decline,Credit Card,2,0
TXN_00000020,SUB_000003,2025-08-28,Premium,24.99,Recovered,Credit Card,1,0
TXN_00000021,SUB_000003,2025-09-27,Premium,24.99,Success,Credit Card,0,0
TXN_00000022,SUB_000003,2025-10-27,Premium,24.99,Success,Credit Card,0,0
TXN_00000023,SUB_000003,2025-11-26,Premium,24.99,Success,Credit Card,0,0
TXN_00000024,SUB_000003,2025-12-26,Premium,24.99,Success,Credit Card,0,0
TXN_00000025,SUB_000003,2026-01-25,Premium,24.99,Success,Credit Card,0,0
TXN_00000026,SUB_000003,2026-02-24,Premium,24.99,Success,Credit Card,0,0
TXN_00000027,SUB_000003,2026-03-26,Premium,19.99,Success,Credit Card,0,1
TXN_00000028,SUB_000004,2025-03-31,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000029,SUB_000004,2025-04-30,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000030,SUB_000004,2025-05-30,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000031,SUB_000004,2025-06-29,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000032,SUB_000004,2025-07-29,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000033,SUB_000004,2025-08-28,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000034,SUB_000004,2025-09-27,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000035,SUB_000004,2025-10-27,Basic-Ads,6.39,Success,PayPal,0,1
TXN_00000036,SUB_000004,2025-11-26,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000037,SUB_000004,2025-12-26,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000038,SUB_000005,2025-11-28,Basic-Ads,6.39,Success,Credit Card,0,1
TXN_00000039,SUB_000005,2025-12-28,Basic-Ads,6.39,Success,Credit Card,0,1
TXN_00000040,SUB_000005,2026-01-27,Basic-Ads,7.99,Success,Credit Card,0,0
TXN_00000041,SUB_000005,2026-02-26,Basic-Ads,7.99,Success,Credit Card,0,0
TXN_00000042,SUB_000006,2025-03-31,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000043,SUB_000006,2025-04-30,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000044,SUB_000006,2025-05-30,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000045,SUB_000006,2025-06-29,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000046,SUB_000006,2025-07-29,Basic-Ads,6.39,Success,PayPal,0,1
TXN_00000047,SUB_000006,2025-08-28,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000048,SUB_000006,2025-09-27,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000049,SUB_000006,2025-10-27,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000050,SUB_000006,2025-11-26,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000051,SUB_000006,2025-12-26,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000052,SUB_000006,2026-01-25,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000053,SUB_000006,2026-02-24,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000054,SUB_000007,2026-03-04,Basic-Ads,7.99,Success,Bundle,0,0
TXN_00000055,SUB_000008,2026-02-03,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000056,SUB_000008,2026-03-05,Basic-Ads,7.99,Success,PayPal,0,0
TXN_00000057,SUB_000009,2025-03-31,Premium,24.99,Success,Credit Card,0,0
TXN_00000058,SUB_000009,2025-04-30,Premium,24.99,Success,Credit Card,0,0
TXN_00000059,SUB_000009,2025-05-30,Premium,24.99,Success,Credit Card,0,0
TXN_00000060,SUB_000009,2025-06-29,Premium,24.99,Success,Credit Card,0,0
TXN_00000061,SUB_000009,2025-07-29,Premium,24.99,Success,Credit Card,0,0
TXN_00000062,SUB_000009,2025-08-28,Premium,24.99,Success,Credit Card,0,0
TXN_00000063,SUB_000009,2025-09-27,Premium,24.99,Success,Credit Card,0,0
TXN_00000064,SUB_000009,2025-10-27,Premium,24.99,Success,Credit Card,0,0
TXN_00000065,SUB_000009,2025-11-26,Premium,24.99,Success,Credit Card,0,0
TXN_00000066,SUB_000009,2025-12-26,Premium,19.99,Success,Credit Card,0,1
TXN_00000067,SUB_000009,2026-01-25,Premium,24.99,Success,Credit Card,0,0
TXN_00000068,SUB_000009,2026-02-24,Premium,19.99,Success,Credit Card,0,1
TXN_00000069,SUB_000009,2026-03-26,Premium,24.99,Success,Credit Card,0,0
TXN_00000070,SUB_000010,2025-03-31,Standard,14.39,Success,Debit Card,0,1
TXN_00000071,SUB_000010,2025-04-30,Standard,17.99,Success,Debit Card,0,0
TXN_00000072,SUB_000010,2025-05-30,Standard,17.99,Success,Debit Card,0,0
TXN_00000073,SUB_000010,2025-06-29,Standard,17.99,Success,Debit Card,0,0
TXN_00000074,SUB_000010,2025-07-29,Standard,17.99,Success,Debit Card,0,0
TXN_00000075,SUB_000010,2025-08-28,Standard,17.99,Success,Debit Card,0,0
TXN_00000076,SUB_000010,2025-09-27,Standard,17.99,Success,Debit Card,0,0
