change_id,subscriber_id,change_date,from_plan,to_plan,change_type,reason_code
CHG_000001,SUB_000002,2026-02-21,Basic-Ads,(cancelled),Cancellation,Content
CHG_000002,SUB_000004,2026-01-13,Basic-Ads,(cancelled),Cancellation,Service
CHG_000003,SUB_000005,2026-02-28,Basic-Ads,(cancelled),Cancellation,Content
CHG_000004,SUB_000006,2026-03-05,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000005,SUB_000011,2025-08-12,Standard,(cancelled),Cancellation,Service
CHG_000006,SUB_000015,2025-06-17,Standard,(cancelled),Cancellation,Cost
CHG_000007,SUB_000017,2026-03-06,Standard,(cancelled),Cancellation,Cost
CHG_000008,SUB_000029,2025-06-21,Basic-Ads,(cancelled),Cancellation,Service
CHG_000009,SUB_000031,2025-07-26,Basic-Ads,(cancelled),Cancellation,Content
CHG_000010,SUB_000033,2026-01-01,Standard,(cancelled),Cancellation,Cost
CHG_000011,SUB_000034,2026-02-19,Standard,(cancelled),Cancellation,Content
CHG_000012,SUB_000035,2026-01-11,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000013,SUB_000037,2026-01-10,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000014,SUB_000039,2026-03-28,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000015,SUB_000043,2026-03-07,Basic-Ads,(cancelled),Cancellation,Other
CHG_000016,SUB_000052,2026-02-11,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000017,SUB_000054,2025-12-14,Standard,(cancelled),Cancellation,Cost
CHG_000018,SUB_000055,2025-07-31,Basic-Ads,(cancelled),Cancellation,Service
CHG_000019,SUB_000056,2025-11-09,Standard,(cancelled),Cancellation,Cost
CHG_000020,SUB_000058,2025-06-12,Premium,(cancelled),Cancellation,Cost
CHG_000021,SUB_000061,2025-07-01,Standard,(cancelled),Cancellation,Cost
CHG_000022,SUB_000062,2026-02-21,Premium,(cancelled),Cancellation,Technical
CHG_000023,SUB_000065,2025-04-24,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000024,SUB_000066,2026-03-18,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000025,SUB_000069,2025-12-01,Premium,(cancelled),Cancellation,Service
CHG_000026,SUB_000071,2026-03-23,Standard,(cancelled),Cancellation,Service
CHG_000027,SUB_000075,2026-01-01,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000028,SUB_000078,2025-09-06,Basic-Ads,(cancelled),Cancellation,Technical
CHG_000029,SUB_000080,2025-10-10,Standard,(cancelled),Cancellation,Service
CHG_000030,SUB_000084,2025-04-24,Standard,(cancelled),Cancellation,Content
CHG_000031,SUB_000089,2025-04-16,Standard,(cancelled),Cancellation,Other
CHG_000032,SUB_000091,2026-02-27,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000033,SUB_000094,2025-07-20,Standard,(cancelled),Cancellation,Cost
CHG_000034,SUB_000102,2026-01-18,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000035,SUB_000108,2026-03-07,Basic-Ads,(cancelled),Cancellation,Cost
CHG_000036,SUB_000109,2026-02-11,Standard,(cancelled),Cancellation,Content
CHG_000037,SUB_000110,2026-01-10,Premium,(cancelled),Cancellation,Cost
CHG_000038,SUB_000114,2026-02-03,Basic-Ads,(cancelled),Cancellation,Service
