ticket_id,subscriber_id,ticket_date,issue_category,resolution_status,resolution_time_hours,csat_score,contact_channel
TKT_000001,SUB_000003,2025-09-05,Streaming Quality,Resolved,1.4,,Email
TKT_000002,SUB_000003,2025-05-28,Billing,Resolved,47.0,4.0,Chat
TKT_000003,SUB_000005,2025-12-06,Account Access,Resolved,2.8,5.0,Email
TKT_000004,SUB_000016,2026-03-29,Content Request,Resolved,47.7,5.0,In-App
TKT_000005,SUB_000019,2025-09-25,Content Request,Resolved,17.5,,In-App
TKT_000006,SUB_000020,2025-12-24,Billing,Unresolved,1.8,1.0,Chat
TKT_000007,SUB_000023,2025-12-25,Billing,Resolved,33.5,4.0,Chat
TKT_000008,SUB_000026,2026-02-13,Billing,Resolved,2.1,5.0,Chat
TKT_000009,SUB_000026,2025-08-27,Billing,Resolved,93.3,5.0,Phone
TKT_000010,SUB_000036,2025-10-03,Billing,Resolved,11.6,,Email
TKT_000011,SUB_000037,2025-11-21,Cancellation Help,Customer-Closed,4.2,1.0,Chat
TKT_000012,SUB_000038,2025-10-30,Account Access,Resolved,27.4,4.0,In-App
TKT_000013,SUB_000038,2025-09-03,Streaming Quality,Resolved,29.6,5.0,Email
TKT_000014,SUB_000039,2025-12-30,Streaming Quality,Unresolved,9.8,,Chat
TKT_000015,SUB_000044,2026-03-24,Content Request,Resolved,19.3,4.0,In-App
TKT_000016,SUB_000045,2025-07-14,Cancellation Help,Resolved,1.1,5.0,Chat
TKT_000017,SUB_000045,2025-06-30,Billing,Resolved,36.3,,In-App
TKT_000018,SUB_000046,2026-02-28,Billing,Unresolved,17.2,,Chat
TKT_000019,SUB_000049,2026-03-01,Streaming Quality,Resolved,7.3,5.0,Chat
TKT_000020,SUB_000051,2025-10-14,Cancellation Help,Resolved,8.5,3.0,Email
TKT_000021,SUB_000057,2026-02-03,Cancellation Help,Resolved,12.0,4.0,In-App
TKT_000022,SUB_000060,2026-02-19,Account Access,Resolved,43.3,3.0,In-App
TKT_000023,SUB_000065,2025-04-04,Billing,Resolved,20.3,5.0,In-App
TKT_000024,SUB_000066,2025-06-18,Streaming Quality,Unresolved,37.4,1.0,In-App
TKT_000025,SUB_000073,2025-12-08,Account Access,Customer-Closed,2.5,,Chat
TKT_000026,SUB_000073,2025-06-14,Account Access,Resolved,36.7,,Chat
TKT_000027,SUB_000075,2025-09-29,Cancellation Help,Unresolved,7.4,1.0,In-App
TKT_000028,SUB_000078,2025-04-15,Billing,Resolved,9.6,4.0,In-App
TKT_000029,SUB_000094,2025-04-24,Streaming Quality,Unresolved,5.4,1.0,In-App
TKT_000030,SUB_000094,2025-04-20,Account Access,Resolved,10.6,,Chat
