subscriber_id,account_id,age,gender,region,country,signup_date,current_plan,signup_channel,device_primary,household_size,churn_status,churn_date,price_increase_flag,is_resub
SUB_000001,ACC_000001,44.0,Male,North America,CA,2022-12-15,Standard,Referral,Mobile,1.0,0,,0,0
SUB_000002,ACC_000002,,Male,Western Europe,DE,2026-01-30,Basic-Ads,Free Trial,Mobile,2.0,1,2026-02-21,1,0
SUB_000003,ACC_000003,32.0,Female,North America,US,2024-02-25,Premium,Paid Social,TV,4.0,0,,0,0
SUB_000004,ACC_000004,33.0,Male,North America,US,2024-06-24,Basic-Ads,Paid Social,TV,2.0,1,2026-01-13,1,0
SUB_000005,ACC_000005,32.0,Undisclosed,North America,US,2025-11-28,Basic-Ads,Paid Social,TV,,1,2026-02-28,0,0
SUB_000006,ACC_000006,38.0,Undisclosed,North America,US,2024-08-21,Basic-Ads,Free Trial,Mobile,2.0,1,2026-03-05,1,0
SUB_000007,ACC_000007,53.0,Male,North America,US,2026-03-04,Basic-Ads,Paid Social,Mobile,1.0,0,,0,0
SUB_000008,ACC_000008,36.0,Male,North America,US,2026-02-03,Basic-Ads,Referral,Mobile,2.0,0,,0,0
SUB_000009,ACC_000009,30.0,Female,Western Europe,UK,2022-08-04,Premium,Paid Search,Mobile,4.0,0,,0,0
SUB_000010,ACC_000010,53.0,Female,North America,CA,2024-07-11,Standard,Bundle,Mobile,4.0,0,,1,0
SUB_000011,ACC_000011,23.0,Undisclosed,Western Europe,UK,2022-12-18,Standard,Paid Search,Mobile,2.0,1,2025-08-12,0,0
SUB_000012,ACC_000012,30.0,,North America,US,2025-07-26,Premium,Referral,Mobile,4.0,0,,0,0
SUB_000013,ACC_000013,39.0,Female,Western Europe,UK,2024-02-23,Premium,Paid Search,TV,1.0,0,,0,0
SUB_000014,ACC_000014,23.0,Male,North America,US,2025-04-02,Standard,Free Trial,Web,4.0,0,,0,0
SUB_000015,ACC_000015,34.0,Female,North America,US,2025-05-30,Standard,Organic,TV,4.0,1,2025-06-17,0,0
SUB_000016,ACC_000016,37.0,Female,North America,US,2026-03-15,Premium,Organic,TV,5.0,0,,0,0
SUB_000017,ACC_000017,49.0,Female,North America,US,2024-07-02,Standard,Paid Search,Mobile,1.0,1,2026-03-06,1,1
SUB_000018,ACC_000018,20.0,Female,Western Europe,FR,2024-06-14,Basic-Ads,Organic,TV,3.0,0,,1,0
SUB_000019,ACC_000019,46.0,Undisclosed,Western Europe,UK,2022-05-13,Premium,Referral,TV,3.0,0,,0,0
SUB_000020,ACC_000020,36.0,Male,North America,CA,2024-08-16,Premium,Paid Social,TV,3.0,0,,0,0
SUB_000021,ACC_000021,24.0,Undisclosed,Western Europe,DE,2026-01-29,Premium,Paid Social,TV,,0,,0,0
SUB_000022,ACC_000022,45.0,Male,North America,US,2023-08-05,Basic-Ads,Organic,Web,3.0,0,,1,0
SUB_000023,ACC_000023,40.0,Female,North America,US,2024-01-21,Standard,Paid Social,TV,2.0,0,,0,0
SUB_000024,ACC_000024,22.0,Male,Western Europe,DE,2024-12-04,Premium,Bundle,TV,2.0,0,,0,0
SUB_000025,ACC_000025,23.0,Male,Western Europe,UK,2026-03-19,Premium,Paid Search,TV,2.0,0,,0,0
SUB_000026,ACC_000026,64.0,Non-binary,Western Europe,UK,2022-07-19,Standard,Organic,TV,4.0,0,,0,0
SUB_000027,ACC_000027,39.0,Undisclosed,North America,US,2025-12-25,Standard,Bundle,Web,1.0,0,,0,0
SUB_000028,ACC_000028,25.0,Female,North America,CA,2024-12-03,Premium,Paid Social,TV,,0,,0,0
SUB_000029,ACC_000029,51.0,Undisclosed,Western Europe,ES,2025-04-26,Basic-Ads,Paid Social,Web,3.0,1,2025-06-21,1,1
SUB_000030,ACC_000030,37.0,Female,Western Europe,FR,2024-04-05,Standard,Paid Search,Web,2.0,0,,0,1
SUB_000031,ACC_000031,52.0,Female,Western Europe,UK,2025-04-26,Basic-Ads,Paid Search,Web,,1,2025-07-26,1,0
SUB_000032,ACC_000032,19.0,Male,North America,US,2022-08-06,Standard,Paid Search,TV,1.0,0,,0,0
SUB_000033,ACC_000033,52.0,Female,North America,US,2024-12-10,Standard,Paid Search,Web,2.0,1,2026-01-01,0,0
SUB_000034,ACC_000034,24.0,Male,Western Europe,UK,2026-02-04,Standard,Paid Social,Tablet,4.0,1,2026-02-19,0,0
SUB_000035,ACC_000035,45.0,Female,North America,US,2025-03-31,Basic-Ads,Organic,Mobile,2.0,1,2026-01-11,1,0
SUB_000036,ACC_000036,63.0,Male,North America,CA,2023-08-08,Standard,Free Trial,TV,3.0,0,,0,0
SUB_000037,ACC_000037,51.0,Female,Western Europe,FR,2025-11-19,Basic-Ads,Paid Social,TV,2.0,1,2026-01-10,0,0
SUB_000038,ACC_000038,48.0,Undisclosed,Western Europe,FR,2023-10-26,Standard,Free Trial,TV,1.0,0,,0,0
