Region,Product_Category,Campaign_Type,Product_Age_Months,Product_Price,Competitor_Price_Index,Advertising_Expenditure,Discount_Percentage,Campaign_Engagement_Score,Inventory_Level,Num_Reviews,Avg_Customer_Rating,Return_Rate,Length_Product_Description,Popularity,Sales
South,Tablet,Search Ad,19,1904.04,1.053,425.33,32.95,31.66,1123,370,3.89,2.702,272,Moderate,12265.79
West,Tablet,Email,36,1325.95,1.034,600.7,30.97,41.23,480,600,3.99,3.046,311,High,20426.45
West,Mobile,Influencer,2,1445.79,1.076,716.22,28.42,51.97,1019,5,4.04,2.856,212,High,29827.18
East,Tablet,Search Ad,9,831.62,1.112,705.51,24.39,64.86,692,168,3.99,3.124,202,Moderate,28211.95
North,Mobile,Email,30,1582.2,0.85,753.36,27.0,57.0,722,832,3.89,3.215,374,High,29794.8
North,Tablet,Influencer,7,2000.0,0.813,739.07,16.86,88.97,1134,139,3.99,2.533,359,Very High,39186.76
North,Tablet,Search Ad,13,1824.49,1.137,707.82,34.07,49.59,955,235,3.94,2.757,215,Very High,24159.83
West,Mobile,Email,7,1347.21,0.893,504.87,27.14,35.77,843,330,3.73,2.521,319,Low,12546.33
East,Tablet,Search Ad,10,2000.0,0.913,766.75,37.97,73.68,1246,150,3.92,2.136,385,Very High,37316.59
East,Mobile,Social Media,6,434.13,0.977,718.94,19.86,61.16,1144,172,3.97,3.464,330,Moderate,28335.49
North,Mobile,Influencer,1,432.13,0.868,623.14,32.56,47.08,626,205,4.18,3.359,201,Low,28062.3
West,Mobile,Influencer,6,1653.18,0.969,733.9,36.94,72.76,204,49,4.03,1.935,254,High,35281.31
West,Mobile,Influencer,8,948.97,0.924,710.36,35.83,69.31,891,833,4.09,2.336,139,Very High,40000.0
South,Mobile,Search Ad,19,117.88,0.981,713.21,29.59,30.22,1261,1056,4.21,3.023,188,Very High,30321.36
North,Tablet,Social Media,33,502.57,1.022,606.97,30.75,45.62,917,602,4.06,2.661,247,Moderate,24863.77
North,Mobile,Search Ad,24,1335.22,0.973,562.68,38.7,51.79,1316,314,4.06,3.324,262,Moderate,22510.29
South,Tablet,Email,10,399.83,0.968,547.6,21.34,58.58,566,338,3.94,2.973,205,High,19355.24
East,Mobile,Search Ad,3,1569.73,1.021,699.28,29.89,62.07,826,25,3.81,2.723,77,High,30050.07
South,Mobile,Search Ad,12,194.3,1.084,443.68,29.44,34.04,833,326,3.96,3.405,260,Low,9376.88
