ApplicationID,Age,Gender,MaritalStatus,Dependents,EducationLevel,State,ResidenceType,YearsAtCurrentResidence,EmploymentType,Employed,EmploymentLengthYears,AnnualIncome,IncomeVerified,CreditScore,CreditHistoryMonths,ExistingLoanAccounts,ExistingCreditCards,TotalMonthlyDebtPayment,DebtToIncomeRatio,RevolvingUtilization,PriorDefault,BankruptcyLast7Years,EnquiriesLast6Months,Approval
LHB-2403641,60,Female,Divorced,4,Bachelor's,GA,Rent,2.0,Salaried-Government,1,2.0,100.2,1,513,369,4,3,2271.0,0.272,0.484,1,0,3,No
LHB-2405086,28,Male,Married,1,Doctorate,KY,Own (with mortgage),7.0,Salaried-Private,1,0.0,147.2,1,624,84,2,1,3271.0,0.233,0.49,0,0,1,No
LHB-2401657,19,Male,Single,0,High School,MD,Own (outright),1.0,Salaried-Private,1,1.0,24.1,1,569,20,1,3,1082.0,0.539,0.463,0,0,2,No
LHB-2406842,49,Male,Married,0,Master's,PA,Rent,6.0,Salaried-Private,1,0.0,140.2,1,592,273,2,1,2520.0,0.216,0.181,0,0,3,No
LHB-2400788,27,Female,Single,0,Bachelor's,TX,Live with Family,1.0,Salaried-Private,1,3.0,51.7,1,597,82,4,5,2653.0,0.616,0.252,0,0,0,No
LHB-2404336,42,Female,Single,0,Bachelor's,TX,Own (with mortgage),2.0,Salaried-Private,1,5.0,74.0,1,657,212,1,3,1584.0,0.257,0.454,0,0,1,Yes
LHB-2406172,36,Female,Single,0,Master's,GA,Rent,10.0,Unemployed,0,0.0,21.9,1,617,147,1,5,1243.0,0.681,0.269,0,0,1,No
LHB-2400445,22,Male,Married,1,High School,DC,Own (outright),5.0,Contract,1,1.0,24.1,0,592,10,4,2,1584.0,0.789,0.358,0,0,2,No
LHB-2407675,25,Male,Married,2,High School,MO,Live with Family,6.0,Salaried-Private,1,0.0,28.1,1,692,54,0,1,404.0,0.173,0.396,0,0,1,Yes
LHB-2403856,26,Male,Married,0,Associate Degree,DE,Own (outright),3.0,Self-Employed,1,1.0,57.8,0,581,70,0,3,448.0,0.093,0.288,0,0,1,No
LHB-2402772,37,Female,Married,0,Bachelor's,NC,Own (with mortgage),5.0,Salaried-Government,1,0.0,69.3,1,635,196,0,1,487.0,0.084,0.334,0,0,2,Yes
LHB-2405077,41,Female,Married,0,High School,DC,Rent,7.0,Self-Employed,1,1.0,40.1,0,544,224,3,2,2131.0,0.638,0.269,0,0,2,No
LHB-2402038,28,Male,Married,5,Bachelor's,PA,Rent,8.0,Salaried-Private,1,5.0,57.4,1,512,97,0,2,645.0,0.135,0.103,0,0,2,Yes
LHB-2405112,40,Male,Single,0,Bachelor's,PA,Own (with mortgage),2.0,Self-Employed,1,13.0,49.9,1,664,155,1,1,1092.0,0.263,0.254,0,0,1,Yes
LHB-2406826,18,Female,Married,2,Associate Degree,OH,Own (with mortgage),2.0,Student,0,0.0,16.1,1,603,4,1,3,924.0,0.689,0.248,0,0,3,No
LHB-2406441,42,Female,Single,0,Bachelor's,TX,Own (with mortgage),15.0,Unemployed,0,0.0,12.0,0,611,201,0,5,525.0,0.525,0.605,0,0,4,No
LHB-2404879,27,Male,Single,1,Bachelor's,AL,Own (with mortgage),3.0,Self-Employed,1,3.0,37.9,0,582,103,1,1,822.0,0.26,0.157,0,0,5,No
LHB-2404942,37,Male,Divorced,3,Doctorate,GA,Own (with mortgage),2.0,Contract,1,4.0,139.2,1,617,181,2,2,2747.0,0.237,0.238,0,0,1,No
LHB-2404463,33,Female,Single,2,Bachelor's,ID,Own (with mortgage),13.0,Salaried-Private,1,7.0,35.7,1,445,136,0,5,967.0,0.325,0.343,0,1,0,No
LHB-2407862,28,Female,Single,0,Bachelor's,MD,Live with Family,19.0,Salaried-Government,1,3.0,68.9,1,430,90,4,5,2049.0,0.357,0.114,1,0,2,No
