Date,ticker,name,Open,High,Low,Close,Volume
2025-10-23,0700.HK,Tencent (Hong Kong),620.0,636.0,618.0,633.0,12419348.0
2025-10-24,0700.HK,Tencent (Hong Kong),639.0,641.5,633.5,637.5,11997034.0
2025-10-27,0700.HK,Tencent (Hong Kong),649.0,656.0,646.0,656.0,16043970.0
2025-10-28,0700.HK,Tencent (Hong Kong),656.0,656.0,641.0,645.0,16295470.0
2025-10-30,0700.HK,Tencent (Hong Kong),657.0,664.0,645.0,651.0,21772780.0
2025-10-31,0700.HK,Tencent (Hong Kong),651.5,655.0,629.0,629.0,20578283.0
2025-11-03,0700.HK,Tencent (Hong Kong),630.5,634.0,622.5,628.0,11591004.0
2025-11-04,0700.HK,Tencent (Hong Kong),631.0,640.0,625.5,629.0,14972125.0
2025-11-05,0700.HK,Tencent (Hong Kong),621.0,632.0,613.0,629.0,13309811.0
2025-11-06,0700.HK,Tencent (Hong Kong),629.5,645.5,629.5,644.0,13081287.0
2025-11-07,0700.HK,Tencent (Hong Kong),638.0,643.0,628.5,634.0,13314360.0
2025-11-10,0700.HK,Tencent (Hong Kong),641.0,651.0,641.0,649.5,14513815.0
2025-11-11,0700.HK,Tencent (Hong Kong),662.0,662.0,641.0,650.0,13087772.0
2025-11-12,0700.HK,Tencent (Hong Kong),655.0,658.5,652.0,657.0,13658568.0
2025-11-13,0700.HK,Tencent (Hong Kong),649.5,660.0,645.0,656.0,17299913.0
2025-11-14,0700.HK,Tencent (Hong Kong),645.0,659.0,640.0,641.0,19956444.0
2025-11-17,0700.HK,Tencent (Hong Kong),640.0,642.5,633.0,636.5,13794477.0
2025-11-18,0700.HK,Tencent (Hong Kong),628.0,641.0,620.5,623.5,18818609.0
2025-11-19,0700.HK,Tencent (Hong Kong),627.5,631.5,619.5,622.5,13959708.0
2025-11-20,0700.HK,Tencent (Hong Kong),626.5,630.5,615.5,621.0,14015988.0
2025-11-21,0700.HK,Tencent (Hong Kong),610.0,615.0,606.0,610.0,23732050.0
2025-11-24,0700.HK,Tencent (Hong Kong),615.0,627.5,613.5,624.5,22376801.0
2025-11-25,0700.HK,Tencent (Hong Kong),633.0,635.0,620.5,625.0,14877620.0
2025-11-26,0700.HK,Tencent (Hong Kong),628.5,630.0,618.0,619.5,14429595.0
2025-11-27,0700.HK,Tencent (Hong Kong),618.0,620.5,609.0,611.5,15493209.0
2025-11-28,0700.HK,Tencent (Hong Kong),611.5,617.0,608.5,611.5,13216245.0
2025-12-01,0700.HK,Tencent (Hong Kong),613.5,623.0,613.0,619.5,12643338.0
2025-12-02,0700.HK,Tencent (Hong Kong),625.5,626.0,615.0,617.0,11460186.0
2025-12-03,0700.HK,Tencent (Hong Kong),616.0,616.0,608.5,611.0,11002158.0
2025-12-04,0700.HK,Tencent (Hong Kong),610.0,613.0,605.0,612.0,15329748.0
2025-12-05,0700.HK,Tencent (Hong Kong),605.0,611.0,604.0,610.0,14638391.0
2025-12-08,0700.HK,Tencent (Hong Kong),607.5,609.5,604.0,605.0,13421327.0
2025-12-09,0700.HK,Tencent (Hong Kong),609.5,610.0,596.0,602.5,17431321.0
2025-12-10,0700.HK,Tencent (Hong Kong),602.0,603.0,595.0,603.0,14750743.0
